label,text
1,"Felicidades! Has ganado un premio de $1000. Reclama aquí: http://bit.ly/premiofalso"
1,"URGENTE: Tu cuenta bancaria ha sido comprometida. Verifica tu identidad en http://bancofalso.com/login para evitar el bloqueo."
0,"Hola mamá, te escribo para saber cómo estás. Llego a casa a las 8pm."
0,"Tu paquete de Amazon ha sido enviado. Sigue el rastreo en el sitio oficial."
1,"Actúa ahora! Tu suscripción a Netflix ha caducado. Actualiza tus datos de pago en http://t.co/netflixfake"
0,"Recordatorio de cita: Tienes una consulta médica mañana a las 10:30 AM."
1,"Problema con tu tarjeta de crédito. Llama inmediatamente al 900-XXX-XXX para solucionarlo."
0,"Juan, te confirmo nuestra reunión de mañana. Saludos."
1,"Has sido seleccionado para una oferta de trabajo exclusiva. Ingresa a http://empleofalso.net para más detalles."
1,"Detectamos actividad sospechosa en tu cuenta. Por favor, cambia tu contraseña en este enlace: http://secure-update.com"
0,"El informe trimestral está listo para su revisión en el portal de la empresa."
1,"Tu factura de teléfono tiene un error. Descarga la corrección desde http://bit.ly/facturafalsa"
0,"Feliz cumpleaños! Espero que tengas un día genial."
1,"Gana un iPhone 15 gratis. Solo tienes que completar esta encuesta: http://t.co/iphonegratis"
0,"El partido de fútbol es el sábado a las 5pm. No lo olvides."
